# Table 4 (with some TeX removed) of
# Engle et al. 2014, ApJ, 794, 80
# https://ui.adsabs.harvard.edu/abs/2014ApJ...794...80E
         HJD &   phase &      V &     err &          HJD &   phase &     U_B &     err &          HJD &   phase &     B_V &     err &          HJD &   phase &     V_R &     err &          HJD &   phase &     R_I &     err
2454628.8954 &  0.4133 & 4.0524 &  0.0255 & 2454628.8952 &  0.4133 &  0.5968 &  0.0100 & 2454628.8953 &  0.4133 &  0.7961 &  0.0272 & 2455100.8050 &  0.3543 &  0.7972 &  0.0098 & 2455100.8052 &  0.3543 &  0.4187 &  0.0084
2454630.8915 & -0.2147 & 4.2666 &  0.0064 & 2454630.8914 & -0.2147 &  0.6220 &  0.0067 & 2454630.8915 & -0.2147 &  0.8435 &  0.0091 & 2455101.8010 & -0.4601 &  0.8341 &  0.0063 & 2455101.8012 & -0.4601 &  0.4423 &  0.0075
2454631.8927 & -0.0282 & 3.4735 &  0.0338 & 2454631.8925 & -0.0282 &  0.3129 &  0.0547 & 2454631.8926 & -0.0282 &  0.4578 &  0.0472 & 2455102.6711 & -0.2980 &  0.8716 &  0.0120 & 2455102.6713 & -0.2979 &  0.4458 &  0.0148
2454634.8826 & -0.4710 & 4.1342 &  0.0059 & 2454634.8837 & -0.4708 &  0.6428 &  0.0085 & 2454634.8825 & -0.4710 &  0.8499 &  0.0103 & 2455102.7988 & -0.2742 &  0.8655 &  0.0043 & 2455102.7989 & -0.2742 &  0.4518 &  0.0037
2454636.8754 & -0.0996 & 3.8125 &  0.0075 & 2454636.8752 & -0.0997 &  0.3607 &  0.0195 & 2454636.8753 & -0.0996 &  0.5974 &  0.0164 & 2455106.7865 &  0.4689 &  0.8297 &  0.0105 & 2455106.7867 &  0.4690 &  0.4382 &  0.0095
2454637.9466 &  0.1000 & 3.5949 &  0.0221 & 2454637.9464 &  0.1000 &  0.3873 &  0.0198 & 2454637.9465 &  0.1000 &  0.5456 &  0.0281 & 2455131.7560 &  0.1220 &  0.6839 &  0.0093 & 2455131.7562 &  0.1221 &  0.3430 &  0.0087
2454638.8721 &  0.2725 & 3.8548 &  0.0283 & 2454638.8719 &  0.2724 &  0.4832 &  0.0229 & 2454638.8720 &  0.2724 &  0.6989 &  0.0339 & 2455133.7728 &  0.4979 &  0.8295 &  0.0112 & 2455133.7730 &  0.4979 &  0.4465 &  0.0096
2454640.8664 & -0.3559 & 4.2744 &  0.0198 & 2454640.8712 & -0.3550 &  0.6568 &  0.0127 & 2454640.8688 & -0.3554 &  0.8617 &  0.0228 & 2455134.7811 & -0.3142 &  0.8777 &  0.0105 & 2455134.7813 & -0.3142 &  0.4600 &  0.0121
2455098.6395 & -0.0493 & 3.5439 &  0.0031 & 2455098.6394 & -0.0493 &  0.3202 &  0.0300 & 2455098.6395 & -0.0493 &  0.4703 &  0.0115 & 2455135.7812 & -0.1279 &  0.7493 &  0.0051 & 2455135.7814 & -0.1278 &  0.3802 &  0.0063
2455098.8061 & -0.0182 & 3.4698 &  0.0098 & 2455098.8059 & -0.0183 &  0.3162 &  0.0282 & 2455098.8060 & -0.0182 &  0.4468 &  0.0147 & 2455136.7803 &  0.0583 &  0.6346 &  0.0162 & 2455136.7805 &  0.0584 &  0.3161 &  0.0164
2455099.6796 &  0.1445 & 3.6712 &  0.0174 & 2455099.6794 &  0.1445 &  0.3933 &  0.0283 & 2455099.6795 &  0.1445 &  0.5873 &  0.0251 & 2455143.7568 &  0.3584 &  0.7916 &  0.0094 & 2455143.7570 &  0.3584 &  0.4198 &  0.0095
2455099.8098 &  0.1688 & 3.7231 &  0.0083 & 2455099.8096 &  0.1688 &  0.3957 &  0.0177 & 2455099.8097 &  0.1688 &  0.6079 &  0.0111 & 2455144.7440 & -0.4576 &  0.8426 &  0.0040 & 2455144.7442 & -0.4576 &  0.4436 &  0.0044
2455100.6797 &  0.3309 & 3.9503 &  0.0098 & 2455100.6795 &  0.3309 &  0.4961 &  0.0188 & 2455100.6796 &  0.3309 &  0.7481 &  0.0099 & 2455145.7525 & -0.2697 &  0.8528 &  0.0057 & 2455145.7527 & -0.2697 &  0.4529 &  0.0047
2455100.8049 &  0.3542 & 3.9894 &  0.0057 & 2455100.8047 &  0.3542 &  0.5408 &  0.0110 & 2455100.8049 &  0.3543 &  0.7592 &  0.0064 & 2455146.7368 & -0.0863 &  0.6751 &  0.0133 & 2455146.7370 & -0.0862 &  0.3376 &  0.0091
2455101.8009 & -0.4601 & 4.1662 &  0.0051 & 2455101.8007 & -0.4602 &  0.6152 &  0.0068 & 2455101.8008 & -0.4602 &  0.8436 &  0.0056 & 2455151.7215 & -0.1574 &  0.7938 &  0.0089 & 2455151.7217 & -0.1573 &  0.4094 &  0.0075
2455102.6697 & -0.2982 & 4.3076 &  0.0037 & 2455102.6695 & -0.2983 &  0.6399 &  0.0111 & 2455102.6696 & -0.2983 &  0.8748 &  0.0098 & 2455468.8626 & -0.0577 &  0.6324 &  0.0083 & 2455468.8628 & -0.0577 &  0.3048 &  0.0098
2455102.7986 & -0.2742 & 4.3196 &  0.0036 & 2455102.7984 & -0.2743 &  0.6272 &  0.0052 & 2455102.7986 & -0.2742 &  0.8799 &  0.0044 & 2455469.8525 &  0.1268 &  0.6848 &  0.0109 & 2455469.8527 &  0.1268 &  0.3427 &  0.0078
2455106.7864 &  0.4689 & 4.0959 &  0.0071 & 2455106.7862 &  0.4689 &  0.5972 &  0.0116 & 2455106.7863 &  0.4689 &  0.8225 &  0.0090 & 2455470.8497 &  0.3126 &  0.7778 &  0.0119 & 2455470.8499 &  0.3126 &  0.4063 &  0.0100
2455131.7559 &  0.1220 & 3.6400 &  0.0047 & 2455131.7557 &  0.1220 &  0.3726 &  0.0261 & 2455131.7558 &  0.1220 &  0.5682 &  0.0131 & 2455471.8479 &  0.4986 &  0.8250 &  0.0085 & 2455471.8481 &  0.4987 &  0.4364 &  0.0092
2455133.7727 &  0.4978 & 4.1171 &  0.0079 & 2455133.7725 &  0.4978 &  0.6057 &  0.0094 & 2455133.7726 &  0.4978 &  0.8312 &  0.0087 & 2455476.8329 &  0.4276 &  0.8102 &  0.0108 & 2455476.8331 &  0.4276 &  0.4323 &  0.0127
2455134.7810 & -0.3143 & 4.3066 &  0.0058 & 2455134.7808 & -0.3143 &  0.6630 &  0.0104 & 2455134.7810 & -0.3143 &  0.8879 &  0.0103 & 2455477.8318 & -0.3863 &  0.8584 &  0.0070 & 2455477.8320 & -0.3862 &  0.4547 &  0.0083
2455135.7811 & -0.1279 & 3.9710 &  0.0016 & 2455135.7809 & -0.1279 &  0.4214 &  0.0131 & 2455135.7810 & -0.1279 &  0.6597 &  0.0042 & 2455478.8279 & -0.2007 &  0.8286 &  0.0038 & 2455478.8281 & -0.2006 &  0.4406 &  0.0048
2455136.7802 &  0.0583 & 3.5396 &  0.0107 & 2455136.7800 &  0.0583 &  0.3263 &  0.0237 & 2455136.7801 &  0.0583 &  0.5041 &  0.0139 & 2455479.8261 & -0.0146 &  0.6120 &  0.0090 & 2455479.8263 & -0.0146 &  0.2867 &  0.0101
2455143.7567 &  0.3584 & 3.9866 &  0.0033 & 2455143.7565 &  0.3583 &  0.5265 &  0.0077 & 2455143.7566 &  0.3584 &  0.7666 &  0.0068 & 2455480.8225 &  0.1710 &  0.7142 &  0.0151 & 2455480.8227 &  0.1711 &  0.3588 &  0.0147
2455144.7438 & -0.4577 & 4.1803 &  0.0026 & 2455144.7449 & -0.4575 &  0.6064 &  0.0024 & 2455144.7438 & -0.4577 &  0.8490 &  0.0032 & 2455481.8207 &  0.3571 &  0.7908 &  0.0090 & 2455481.8209 &  0.3571 &  0.4168 &  0.0099
2455145.7524 & -0.2697 & 4.3230 &  0.0037 & 2455145.7535 & -0.2695 &  0.6619 &  0.0052 & 2455145.7523 & -0.2697 &  0.8749 &  0.0049 & 2455482.8168 & -0.4573 &  0.8476 &  0.0022 & 2455482.8170 & -0.4573 &  0.4427 &  0.0055
2455146.7367 & -0.0863 & 3.7385 &  0.0118 & 2455146.7378 & -0.0861 &  0.3430 &  0.0261 & 2455146.7366 & -0.0863 &  0.5586 &  0.0177 & 2455488.8023 & -0.3419 &  0.8648 &  0.0057 & 2455488.8025 & -0.3419 &  0.4536 &  0.0050
2455151.7214 & -0.1574 & 4.1278 &  0.0068 & 2455151.7212 & -0.1574 &  0.4719 &  0.0093 & 2455151.7214 & -0.1574 &  0.7403 &  0.0095 & 2455492.8072 &  0.4044 &  0.8116 &  0.0069 & 2455492.8074 &  0.4044 &  0.4269 &  0.0051
2455468.8625 & -0.0577 & 3.5880 &  0.0058 & 2455468.8623 & -0.0578 &  0.2636 &  0.0332 & 2455468.8624 & -0.0577 &  0.4836 &  0.0086 & 2455493.7962 & -0.4113 &  0.8532 &  0.0073 & 2455493.7964 & -0.4113 &  0.4506 &  0.0078
2455469.8524 &  0.1267 & 3.6395 &  0.0091 & 2455469.8522 &  0.1267 &  0.3709 &  0.0277 & 2455469.8523 &  0.1267 &  0.5750 &  0.0101 & 2455495.7965 & -0.0385 &  0.6257 &  0.0089 & 2455495.7967 & -0.0385 &  0.2863 &  0.0159
2455470.8496 &  0.3126 & 3.9216 &  0.0090 & 2455470.8506 &  0.3128 &  0.4550 &  0.0090 & 2455470.8495 &  0.3126 &  0.7337 &  0.0107 & 2455498.7914 & -0.4804 &  0.8334 &  0.0042 & 2455498.7916 & -0.4804 &  0.4434 &  0.0021
2455471.8477 &  0.4986 & 4.1325 &  0.0074 & 2455471.8476 &  0.4986 &  0.5523 &  0.0085 & 2455471.8477 &  0.4986 &  0.8203 &  0.0075 & 2455499.7862 & -0.2950 &  0.8576 &  0.0082 & 2455499.7864 & -0.2950 &  0.4483 &  0.0096
2455476.8328 &  0.4275 & 4.0543 &  0.0066 & 2455476.8326 &  0.4275 &  0.5565 &  0.0078 & 2455476.8328 &  0.4276 &  0.7966 &  0.0079 & 2455501.7760 &  0.0758 &  0.6490 &  0.0141 & 2455501.7761 &  0.0758 &  0.3168 &  0.0154
2455477.8317 & -0.3863 & 4.2534 &  0.0037 & 2455477.8315 & -0.3863 &  0.6369 &  0.0067 & 2455477.8317 & -0.3863 &  0.8640 &  0.0050 & 2455502.7737 &  0.2617 &  0.7618 &  0.0091 & 2455502.7739 &  0.2617 &  0.3878 &  0.0057
2455478.8278 & -0.2007 & 4.2579 &  0.0035 & 2455478.8288 & -0.2005 &  0.5306 &  0.0030 & 2455478.8277 & -0.2007 &  0.8274 &  0.0043 & 2455503.7705 &  0.4474 &  0.8195 &  0.0057 & 2455503.7707 &  0.4475 &  0.4345 &  0.0047
2455479.8259 & -0.0147 & 3.4598 &  0.0058 & 2455479.8258 & -0.0147 &  0.2990 &  0.0374 & 2455479.8259 & -0.0147 &  0.4438 &  0.0124 & 2455504.7678 & -0.3667 &  0.8593 &  0.0076 & 2455504.7679 & -0.3667 &  0.4492 &  0.0054
2455480.8224 &  0.1710 & 3.7180 &  0.0116 & 2455480.8222 &  0.1710 &  0.3776 &  0.0215 & 2455480.8223 &  0.1710 &  0.6115 &  0.0154 & 2455506.7644 &  0.0054 &  0.6110 &  0.0125 & 2455506.7633 &  0.0051 &  0.2903 &  0.0178
2455481.8206 &  0.3570 & 3.9785 &  0.0029 & 2455481.8204 &  0.3570 &  0.5003 &  0.0195 & 2455481.8205 &  0.3570 &  0.7636 &  0.0049 & 2455508.7577 &  0.3768 &  0.8131 &  0.0051 & 2455508.7579 &  0.3768 &  0.4182 &  0.0051
2455482.8167 & -0.4573 & 4.1735 &  0.0006 & 2455482.8165 & -0.4574 &  0.6105 &  0.0096 & 2455482.8166 & -0.4574 &  0.8388 &  0.0063 & 2455510.7524 & -0.2515 &  0.8705 &  0.0049 & 2455510.7526 & -0.2514 &  0.4505 &  0.0052
2455488.8022 & -0.3419 & 4.2813 &  0.0050 & 2455488.8033 & -0.3417 &  0.6661 &  0.0053 & 2455488.8034 & -0.3417 &  0.8781 &  0.0051 & 2455511.7500 & -0.0656 &  0.6559 &  0.0093 & 2455511.7502 & -0.0655 &  0.3113 &  0.0094
2455492.8071 &  0.4044 & 4.0341 &  0.0058 & 2455492.8069 &  0.4044 &  0.5646 &  0.0185 & 2455492.8070 &  0.4044 &  0.7843 &  0.0097 & 2455512.7464 &  0.1201 &  0.6888 &  0.0080 & 2455512.7466 &  0.1201 &  0.3422 &  0.0100
2455493.7961 & -0.4113 & 4.2234 &  0.0036 & 2455493.7959 & -0.4113 &  0.6438 &  0.0093 & 2455493.7960 & -0.4113 &  0.8642 &  0.0054 & 2455513.7467 &  0.3065 &  0.7853 &  0.0058 & 2455513.7469 &  0.3065 &  0.4056 &  0.0047
2455495.7963 & -0.0386 & 3.5080 &  0.0040 & 2455495.7962 & -0.0386 &  0.3188 &  0.0224 & 2455495.7963 & -0.0386 &  0.4529 &  0.0059 & 2455515.7440 & -0.3213 &  0.8583 &  0.0084 & 2455515.7442 & -0.3213 &  0.4594 &  0.0066
2455498.7913 & -0.4805 & 4.1397 &  0.0038 & 2455498.7911 & -0.4805 &  0.5898 &  0.0089 & 2455498.7913 & -0.4804 &  0.8403 &  0.0063 & 2455516.7383 & -0.1360 &  0.7643 &  0.0068 & 2455516.7384 & -0.1360 &  0.3856 &  0.0085
2455499.7861 & -0.2951 & 4.3109 &  0.0060 & 2455499.7872 & -0.2949 &  0.6147 &  0.0060 & 2455499.7860 & -0.2951 &  0.8810 &  0.0075 & 2455532.6063 & -0.1790 &  0.8205 &  0.0040 & 2455532.6065 & -0.1789 &  0.4245 &  0.0019
2455501.7758 &  0.0757 & 3.5584 &  0.0083 & 2455502.7734 &  0.2616 &  0.4184 &  0.0107 & 2455501.7758 &  0.0757 &  0.5080 &  0.0131 & 2455532.6854 & -0.1642 &  0.8072 &  0.0039 & 2455532.6856 & -0.1642 &  0.4113 &  0.0024
2455502.7736 &  0.2617 & 3.8492 &  0.0084 & 2455503.7702 &  0.4474 &  0.5650 &  0.0081 & 2455502.7735 &  0.2616 &  0.6962 &  0.0085 & 2455533.5941 &  0.0051 &  0.6192 &  0.0055 & 2455533.5943 &  0.0051 &  0.2939 &  0.0052
2455503.7704 &  0.4474 & 4.0703 &  0.0041 & 2455504.7687 & -0.3666 &  0.6450 &  0.0064 & 2455503.7703 &  0.4474 &  0.8109 &  0.0073 & 2455862.6718 &  0.3292 &  0.7970 &  0.0059 & 2455862.6720 &  0.3292 &  0.4151 &  0.0039
2455504.7676 & -0.3668 & 4.2629 &  0.0068 & 2455506.7628 &  0.0051 &  0.3137 &  0.0261 & 2455504.7676 & -0.3668 &  0.8764 &  0.0087 & 2455865.6113 & -0.1231 &  0.7487 &  0.0054 & 2455865.6114 & -0.1230 &  0.3780 &  0.0073
2455506.7656 &  0.0056 & 3.4644 &  0.0101 & 2455508.7574 &  0.3767 &  0.4885 &  0.0094 & 2455506.7642 &  0.0053 &  0.4493 &  0.0161 & 2455866.5963 &  0.0605 &  0.6474 &  0.0064 & 2455866.5964 &  0.0605 &  0.3171 &  0.0048
2455508.7576 &  0.3768 & 4.0027 &  0.0015 & 2455510.7521 & -0.2515 &  0.6259 &  0.0038 & 2455508.7575 &  0.3768 &  0.7787 &  0.0063 & 2455867.5955 &  0.2467 &  0.7607 &  0.0056 & 2455867.5957 &  0.2467 &  0.3860 &  0.0058
2455510.7523 & -0.2515 & 4.3192 &  0.0031 & 2455511.7497 & -0.0656 &  0.3313 &  0.0237 & 2455510.7522 & -0.2515 &  0.8726 &  0.0042 & 2455868.5951 &  0.4330 &  0.8311 &  0.0035 & 2455868.5952 &  0.4330 &  0.4313 &  0.0053
2455511.7498 & -0.0656 & 3.6148 &  0.0078 & 2455512.7461 &  0.1200 &  0.3340 &  0.0193 & 2455511.7498 & -0.0656 &  0.5041 &  0.0247 & 2455881.5652 & -0.1500 &  0.7904 &  0.0045 & 2455881.5653 & -0.1500 &  0.4069 &  0.0046
2455512.7463 &  0.1201 & 3.6349 &  0.0040 & 2455513.7464 &  0.3065 &  0.4628 &  0.0073 & 2455512.7462 &  0.1201 &  0.5566 &  0.0100 & 2455881.5800 & -0.1473 &  0.7815 &  0.0030 & 2455881.5802 & -0.1472 &  0.4031 &  0.0031
2455513.7465 &  0.3065 & 3.9130 &  0.0042 & 2455515.7437 & -0.3213 &  0.6444 &  0.0078 & 2455513.7465 &  0.3065 &  0.7305 &  0.0070 & 2455881.5949 & -0.1445 &  0.7834 &  0.0067 & 2455881.5950 & -0.1445 &  0.3968 &  0.0064
2455515.7439 & -0.3213 & 4.2962 &  0.0067 & 2455516.7379 & -0.1361 &  0.3991 &  0.0162 & 2455515.7438 & -0.3213 &  0.8734 &  0.0084 & 2455881.6098 & -0.1417 &  0.7768 &  0.0053 & 2455881.6099 & -0.1417 &  0.3948 &  0.0038
2455516.7381 & -0.1360 & 4.0154 &  0.0058 & 2455532.6060 & -0.1790 &  0.5079 &  0.0084 & 2455516.7381 & -0.1360 &  0.6895 &  0.0087 & 2455881.6246 & -0.1390 &  0.7713 &  0.0041 & 2455881.6248 & -0.1389 &  0.3922 &  0.0049
2455532.6062 & -0.1790 & 4.1985 &  0.0037 & 2455532.6851 & -0.1643 &  0.4582 &  0.0140 & 2455532.6061 & -0.1790 &  0.7854 &  0.0039 & 2455881.6396 & -0.1362 &  0.7630 &  0.0063 & 2455881.6397 & -0.1361 &  0.3914 &  0.0066
2455532.6853 & -0.1643 & 4.1480 &  0.0034 & 2455533.5938 &  0.0050 &  0.3076 &  0.0636 & 2455532.6852 & -0.1643 &  0.7549 &  0.0081 & 2455881.6542 & -0.1334 &  0.7657 &  0.0067 & 2455881.6543 & -0.1334 &  0.3871 &  0.0052
2455533.5940 &  0.0051 & 3.4631 &  0.0044 & 2455862.6716 &  0.3291 &  0.5273 &  0.0073 & 2455533.5939 &  0.0051 &  0.4426 &  0.0056 & 2455881.6688 & -0.1307 &  0.7597 &  0.0032 & 2455881.6689 & -0.1307 &  0.3864 &  0.0047
2455862.6718 &  0.3292 & 3.9454 &  0.0048 & 2455865.6121 & -0.1229 &  0.4116 &  0.0161 & 2455862.6717 &  0.3291 &  0.7361 &  0.0058 & 2455881.6834 & -0.1280 &  0.7515 &  0.0079 & 2455881.6835 & -0.1280 &  0.3776 &  0.0049
2455865.6113 & -0.1231 & 3.9479 &  0.0047 & 2455866.5960 &  0.0604 &  0.3642 &  0.0151 & 2455865.6112 & -0.1231 &  0.6473 &  0.0085 & 2455881.6981 & -0.1253 &  0.7551 &  0.0035 & 2455881.6982 & -0.1252 &  0.3733 &  0.0042
2455866.5962 &  0.0605 & 3.5297 &  0.0046 & 2455867.5953 &  0.2467 &  0.4690 &  0.0202 & 2455866.5962 &  0.0605 &  0.4819 &  0.0056 & 2455881.7128 & -0.1225 &  0.7531 &  0.0084 & 2455881.7129 & -0.1225 &  0.3776 &  0.0074
2455867.5955 &  0.2467 & 3.8237 &  0.0048 & 2455868.5949 &  0.4329 &  0.5862 &  0.0089 & 2455867.5954 &  0.2467 &  0.6749 &  0.0078 & 2455881.7274 & -0.1198 &  0.7378 &  0.0052 & 2455881.7276 & -0.1198 &  0.3727 &  0.0050
2455868.5950 &  0.4330 & 4.0575 &  0.0014 & 2455881.5649 & -0.1501 &  0.4587 &  0.0050 & 2455868.5950 &  0.4330 &  0.8013 &  0.0030 & 2455882.7387 &  0.0687 &  0.6529 &  0.0120 & 2455882.7389 &  0.0687 &  0.3096 &  0.0122
2455881.5651 & -0.1500 & 4.0841 &  0.0023 & 2455881.5798 & -0.1473 &  0.4551 &  0.0141 & 2455881.5651 & -0.1500 &  0.7125 &  0.0035 & 2455888.7209 &  0.1835 &  0.7202 &  0.0049 & 2455888.7210 &  0.1835 &  0.3609 &  0.0049
2455881.5800 & -0.1473 & 4.0662 &  0.0026 & 2455881.5946 & -0.1445 &  0.4413 &  0.0064 & 2455881.5799 & -0.1473 &  0.7114 &  0.0043 & 2455892.6969 & -0.0756 &  0.6567 &  0.0080 & 2455892.6971 & -0.0756 &  0.3329 &  0.0099
2455881.5948 & -0.1445 & 4.0545 &  0.0033 & 2455881.6095 & -0.1418 &  0.4362 &  0.0135 & 2455881.5947 & -0.1445 &  0.7006 &  0.0052 & 2455893.7074 &  0.1127 &  0.6821 &  0.0075 & 2455893.7075 &  0.1127 &  0.3441 &  0.0047
2455881.6097 & -0.1417 & 4.0402 &  0.0042 & 2455881.6244 & -0.1390 &  0.4287 &  0.0077 & 2455881.6096 & -0.1417 &  0.6987 &  0.0069 & 2455900.6875 &  0.4134 &  0.8189 &  0.0075 & 2455900.6877 &  0.4135 &  0.4316 &  0.0063
2455881.6246 & -0.1390 & 4.0255 &  0.0036 & 2455881.6393 & -0.1362 &  0.4173 &  0.0093 & 2455881.6245 & -0.1390 &  0.6893 &  0.0044 & 2455911.6610 &  0.4584 &  0.8345 &  0.0057 & 2455911.6611 &  0.4584 &  0.4278 &  0.0082
2455881.6395 & -0.1362 & 4.0084 &  0.0047 & 2455881.6539 & -0.1335 &  0.4129 &  0.0020 & 2455881.6394 & -0.1362 &  0.6861 &  0.0073 & 2455912.6203 & -0.3629 &  0.8583 &  0.0074 & 2455912.6204 & -0.3628 &  0.4601 &  0.0050
2455881.6541 & -0.1335 & 3.9959 &  0.0056 & 2455881.6685 & -0.1308 &  0.4136 &  0.0092 & 2455881.6541 & -0.1335 &  0.6806 &  0.0058 & 2455919.5649 & -0.0687 &  0.6601 &  0.0076 & 2455919.5650 & -0.0687 &  0.3246 &  0.0104
2455881.6687 & -0.1307 & 3.9808 &  0.0021 & 2455881.6832 & -0.1280 &  0.4107 &  0.0057 & 2455881.6687 & -0.1307 &  0.6726 &  0.0056 & 2455919.5806 & -0.0658 &  0.6615 &  0.0101 & 2455919.5796 & -0.0660 &  0.3160 &  0.0112
2455881.6833 & -0.1280 & 3.9622 &  0.0076 & 2455881.6978 & -0.1253 &  0.4064 &  0.0085 & 2455881.6833 & -0.1280 &  0.6657 &  0.0087 & 2455919.5947 & -0.0632 &  0.6539 &  0.0117 & 2455919.5948 & -0.0632 &  0.3128 &  0.0101
2455881.6980 & -0.1253 & 3.9496 &  0.0025 & 2455881.7125 & -0.1226 &  0.3926 &  0.0164 & 2455881.6980 & -0.1253 &  0.6482 &  0.0061 & 2455919.6069 & -0.0609 &  0.6510 &  0.0114 & 2455919.6070 & -0.0609 &  0.3162 &  0.0140
